rank,attraction_id,name,category,neighborhood,rating,review_count,travelers_choice,open_status,booking_available,description,url
65,520116,Palau de San Telmo,Castles,Casco Antiguo,4.2,192,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d520116-Reviews-Palau_de_San_Telmo-Seville_Province_of_Seville_Andalucia.html
66,6776555,Paseo de Las Delicias,Points of Interest & Landmarks,,4.3,133,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d6776555-Reviews-Paseo_de_Las_Delicias-Seville_Province_of_Seville_Andalucia.html
67,8727583,Edificio La Adriatica,Points of Interest & Landmarks • Architectural Buildings,,4.5,332,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d8727583-Reviews-Edificio_La_Adriatica-Seville_Province_of_Seville_Andalucia.html
68,2038104,Castillo de San Jorge,Speciality Museums,,3.9,196,FALSE,,,Temporarily closed. This museum sits on the site of the excavated 12th-century Castillo de San Jorge which in the 15th-century became the first headquarters of Spain’s notorious Inquisition. The …,https://www.tripadvisor.com/Attraction_Review-g187443-d2038104-Reviews-Castillo_de_San_Jorge-Seville_Province_of_Seville_Andalucia.html
69,591937,Iglesia de Santa Ana,Religious Sites,,4.2,116,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d591937-Reviews-Iglesia_de_Santa_Ana-Seville_Province_of_Seville_Andalucia.html
70,4371270,Plaza de San Francisco,Points of Interest & Landmarks,,4.2,284,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d4371270-Reviews-Plaza_de_San_Francisco-Seville_Province_of_Seville_Andalucia.html
71,240277,Iglesia de la Caridad,Historic Sites • Religious Sites,The brotherhood of Santa Caridad traces its origins to the middle ages.,4.2,279,FALSE,,,The brotherhood of Santa Caridad traces its origins to the middle ages.,https://www.tripadvisor.com/Attraction_Review-g187443-d240277-Reviews-Iglesia_de_la_Caridad-Seville_Province_of_Seville_Andalucia.html
72,16733301,Mercado De La Feria,Farmers Markets,,3.8,44,FALSE,Open now,,,https://www.tripadvisor.com/Attraction_Review-g187443-d16733301-Reviews-Mercado_De_La_Feria-Seville_Province_of_Seville_Andalucia.html
73,7132987,Nervion Plaza,Shopping Malls,,3.4,137,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d7132987-Reviews-Nervion_Plaza-Seville_Province_of_Seville_Andalucia.html
74,9792293,Masajes SVQ AQUA,Spas,,4.9,1461,TRUE,,,"Massages SVQ, is a space for Wellness in Seville, in the hands of qualified professionals. We offer a wide range of massages in Seville, from a soft and relaxing massage, an intense massage, a massage…",https://www.tripadvisor.com/Attraction_Review-g187443-d9792293-Reviews-Masajes_SVQ_AQUA-Seville_Province_of_Seville_Andalucia.html
75,590989,Museo Militar Regional,Military Museums,,4.2,126,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d590989-Reviews-Museo_Militar_Regional-Seville_Province_of_Seville_Andalucia.html
